response,context,context_2,context_3,context_4,context_5,context_6,context_7
"Are you referring to the dropdown menu? If so, I'm sure you can hardcode it, but it would be very tedious. I'd suggest running a query that selects all product ids from the products table and populate the dropdown menu's content with those product ids.","for prod id list in  hw14q1.php, should we hard code the values or should it come from the table?",,,,,,
You are outputting both to the same area. So whatever you previously had should be overwritten,Only one event can be triggered at a time. ,I am showing only one. I am rewriting on the same place.,"If the user were to select an item from the dropdown menu, and hover over the ""all products"" label, should we append both queries to the content area? Or should we only show one or the other?",,,,
Only one event can be triggered at a time. ,I am showing only one. I am rewriting on the same place.,"If the user were to select an item from the dropdown menu, and hover over the ""all products"" label, should we append both queries to the content area? Or should we only show one or the other?",,,,,
I am showing only one. I am rewriting on the same place.,"If the user were to select an item from the dropdown menu, and hover over the ""all products"" label, should we append both queries to the content area? Or should we only show one or the other?",,,,,,
"I did this in a similar way but used $ampm=date(""a""); which would return either am or pm. Then I did an if statement to say if $ampm==""am"" $timeofday=""morning"" else if $ampm==""pm"" $timeofday=""evening""","To evaluate if the current time is in AM or PM, I have a line like this: $nowHour = date(""G""); ...G apparently refers to the 24 hour format of the hours without leading zeros. I was wondering if this is a valid way to evaluate the current hour",,,,,,
"Mine is doing the same thing, but I haven't solved it.","Whenever i go back to the login page my company name saves but with a ""+"" instead of a space is anyone else having trouble with something like this?",,,,,,
"it might be your code. create a statement that gets the current time, then create another statement that gets the date","My time is not updating, even when I log in with a different supplier it says the same time. Does anyone have an idea on why this is?",,,,,,
"By using the change method in jQuery, the table will only be loaded once a value from the menu is selected. This in a way forces the variable to be set upon loading. For this reason, I chose not to include a 0 value, as the database begins at 1. The full table can still be loaded from the All Products element.","On the displayproducts.php page, I used an if statement to check if $_GET['productid'] is set. If it is, my SQL contains the WHERE clause and if it doesn't,t I would just select all from products.","On the assignment for part one it says that ""If the page does not receive a parameter value, retrieve all the products records."" does this mean that if the 0 value is selected that the full table should be displayed or should it only be displayed when hovering over the All products text should the full table be displayed?",,,,,
"On the displayproducts.php page, I used an if statement to check if $_GET['productid'] is set. If it is, my SQL contains the WHERE clause and if it doesn't,t I would just select all from products.","On the assignment for part one it says that ""If the page does not receive a parameter value, retrieve all the products records."" does this mean that if the 0 value is selected that the full table should be displayed or should it only be displayed when hovering over the All products text should the full table be displayed?",,,,,,
Use a config.php file from another source and see if that works. If not make sure you do not have any extra characters in your config.php file,Getting the following error on my config.php file:,,,,,,
"In javascript, the best way to get the current value is to set a variable equal to the selected index, and then find either its text or value.",Thanks blake for posting it. I had the same question. ,"you can use try using the ""mouseenter"" event Maybe something like below?",For the javascript hovering event how is the best way to get the current value of the dropdown and the best way to change it in javascript?,,,,
Thanks blake for posting it. I had the same question. ,"you can use try using the ""mouseenter"" event Maybe something like below?",For the javascript hovering event how is the best way to get the current value of the dropdown and the best way to change it in javascript?,,,,,
"you can use try using the ""mouseenter"" event Maybe something like below?",For the javascript hovering event how is the best way to get the current value of the dropdown and the best way to change it in javascript?,,,,,,
I actually think i had a glitch in my VSCode because restarting the IDE fixed my issues. Thank you,"First, you don't need an alias name here. You can just use 'ProductID' instead of having a new alias name for the attribute. We only need to provide an alias name for a calculated field (e.g., QuantityInStock*UnitPrice As TotalValue) or an aggregate function (e.g., count(productid) as numOfProducts). ","Is this for populating your dropdown list? I feel like these problems usually occur when I do not provide a name for the query. For example, I used,",I am not sure what you are trying to do here. What do you need the productid value for?,my $result from querying the database only return 114 out of 175 lines which is a bit odd because when i run the same query in MySQL it returns all of the lines. Has Anyone else had this problem/ know of a good way other than counting rows to get the ProductID values?,,,
"First, you don't need an alias name here. You can just use 'ProductID' instead of having a new alias name for the attribute. We only need to provide an alias name for a calculated field (e.g., QuantityInStock*UnitPrice As TotalValue) or an aggregate function (e.g., count(productid) as numOfProducts). ","Is this for populating your dropdown list? I feel like these problems usually occur when I do not provide a name for the query. For example, I used,",I am not sure what you are trying to do here. What do you need the productid value for?,my $result from querying the database only return 114 out of 175 lines which is a bit odd because when i run the same query in MySQL it returns all of the lines. Has Anyone else had this problem/ know of a good way other than counting rows to get the ProductID values?,,,,
"Is this for populating your dropdown list? I feel like these problems usually occur when I do not provide a name for the query. For example, I used,",I am not sure what you are trying to do here. What do you need the productid value for?,my $result from querying the database only return 114 out of 175 lines which is a bit odd because when i run the same query in MySQL it returns all of the lines. Has Anyone else had this problem/ know of a good way other than counting rows to get the ProductID values?,,,,,
I am not sure what you are trying to do here. What do you need the productid value for?,my $result from querying the database only return 114 out of 175 lines which is a bit odd because when i run the same query in MySQL it returns all of the lines. Has Anyone else had this problem/ know of a good way other than counting rows to get the ProductID values?,,,,,,
"You have your username set to ""alan"" on the ""config.php"" page. You have to change it to the username that you personally created on the northwind database. ","For some reason, I keep getting this error and I don't know how to fix it.",,,,,,
"That's the way it is. The function reads the next available record in the resultset and converts it into an array. The record will be removed from the resultset. The next time you run the function, it will read the next available record in the resultset. ","while doing this HW , I noticed something peculiar, anyone know the reason?",,,,,,
Thanks. I was just about to post another question about that.,Thanks this actually helped me understand this a lot better!, ,On form submit i post the supplierId value to showProducts.php but i am a little confused as to how exactly i should access that value in getData.php in order to fully execute the SQL statement. I have tried setting the value =$id providing it meets the condition --> (isset($_POST['submit'])) and if anyone could clarify the syntax for that i would appreciate it,"Okay, thanks. that is what I was trying to get confirmed that, we need to keep the data fetch on a separate page.","So I programmed it using 2 webpages. The first page (showproducts.php) was used to get the JSON data from MySQL. And on the d3.php, I use PHP code to check if $_POST['submit] and $_POST['supplierid'] were both set. If they were, then I would echo the entire d3 script in the HTML body. ","Let me provide some hints here. You need to have 3 files. The d3.php file contains a form as well as a select element (note that hard-coded supplier id values are not allowed in this assignment). When the user selects a supplier id on d3.php, the user will be directed to showProducts.php page, which will show a bar chart using D3 code (use the one that I tested in my demo please). The showProducts.php file will need a getData.php file to provide the needed data in the JSON format in order to generate the bar chart. Therefore, the selected supplier id should be first passed from d3.php to showProducts.php, which will pass it down to getData.php. ",in this question; are we supposed to add the D3 code in showProducts.php?
Thanks this actually helped me understand this a lot better!, ,On form submit i post the supplierId value to showProducts.php but i am a little confused as to how exactly i should access that value in getData.php in order to fully execute the SQL statement. I have tried setting the value =$id providing it meets the condition --> (isset($_POST['submit'])) and if anyone could clarify the syntax for that i would appreciate it,"Okay, thanks. that is what I was trying to get confirmed that, we need to keep the data fetch on a separate page.","So I programmed it using 2 webpages. The first page (showproducts.php) was used to get the JSON data from MySQL. And on the d3.php, I use PHP code to check if $_POST['submit] and $_POST['supplierid'] were both set. If they were, then I would echo the entire d3 script in the HTML body. ","Let me provide some hints here. You need to have 3 files. The d3.php file contains a form as well as a select element (note that hard-coded supplier id values are not allowed in this assignment). When the user selects a supplier id on d3.php, the user will be directed to showProducts.php page, which will show a bar chart using D3 code (use the one that I tested in my demo please). The showProducts.php file will need a getData.php file to provide the needed data in the JSON format in order to generate the bar chart. Therefore, the selected supplier id should be first passed from d3.php to showProducts.php, which will pass it down to getData.php. ",in this question; are we supposed to add the D3 code in showProducts.php?,
 ,On form submit i post the supplierId value to showProducts.php but i am a little confused as to how exactly i should access that value in getData.php in order to fully execute the SQL statement. I have tried setting the value =$id providing it meets the condition --> (isset($_POST['submit'])) and if anyone could clarify the syntax for that i would appreciate it,"Okay, thanks. that is what I was trying to get confirmed that, we need to keep the data fetch on a separate page.","So I programmed it using 2 webpages. The first page (showproducts.php) was used to get the JSON data from MySQL. And on the d3.php, I use PHP code to check if $_POST['submit] and $_POST['supplierid'] were both set. If they were, then I would echo the entire d3 script in the HTML body. ","Let me provide some hints here. You need to have 3 files. The d3.php file contains a form as well as a select element (note that hard-coded supplier id values are not allowed in this assignment). When the user selects a supplier id on d3.php, the user will be directed to showProducts.php page, which will show a bar chart using D3 code (use the one that I tested in my demo please). The showProducts.php file will need a getData.php file to provide the needed data in the JSON format in order to generate the bar chart. Therefore, the selected supplier id should be first passed from d3.php to showProducts.php, which will pass it down to getData.php. ",in this question; are we supposed to add the D3 code in showProducts.php?,,
On form submit i post the supplierId value to showProducts.php but i am a little confused as to how exactly i should access that value in getData.php in order to fully execute the SQL statement. I have tried setting the value =$id providing it meets the condition --> (isset($_POST['submit'])) and if anyone could clarify the syntax for that i would appreciate it,"Okay, thanks. that is what I was trying to get confirmed that, we need to keep the data fetch on a separate page.","So I programmed it using 2 webpages. The first page (showproducts.php) was used to get the JSON data from MySQL. And on the d3.php, I use PHP code to check if $_POST['submit] and $_POST['supplierid'] were both set. If they were, then I would echo the entire d3 script in the HTML body. ","Let me provide some hints here. You need to have 3 files. The d3.php file contains a form as well as a select element (note that hard-coded supplier id values are not allowed in this assignment). When the user selects a supplier id on d3.php, the user will be directed to showProducts.php page, which will show a bar chart using D3 code (use the one that I tested in my demo please). The showProducts.php file will need a getData.php file to provide the needed data in the JSON format in order to generate the bar chart. Therefore, the selected supplier id should be first passed from d3.php to showProducts.php, which will pass it down to getData.php. ",in this question; are we supposed to add the D3 code in showProducts.php?,,,
"Okay, thanks. that is what I was trying to get confirmed that, we need to keep the data fetch on a separate page.","So I programmed it using 2 webpages. The first page (showproducts.php) was used to get the JSON data from MySQL. And on the d3.php, I use PHP code to check if $_POST['submit] and $_POST['supplierid'] were both set. If they were, then I would echo the entire d3 script in the HTML body. ","Let me provide some hints here. You need to have 3 files. The d3.php file contains a form as well as a select element (note that hard-coded supplier id values are not allowed in this assignment). When the user selects a supplier id on d3.php, the user will be directed to showProducts.php page, which will show a bar chart using D3 code (use the one that I tested in my demo please). The showProducts.php file will need a getData.php file to provide the needed data in the JSON format in order to generate the bar chart. Therefore, the selected supplier id should be first passed from d3.php to showProducts.php, which will pass it down to getData.php. ",in this question; are we supposed to add the D3 code in showProducts.php?,,,,
"So I programmed it using 2 webpages. The first page (showproducts.php) was used to get the JSON data from MySQL. And on the d3.php, I use PHP code to check if $_POST['submit] and $_POST['supplierid'] were both set. If they were, then I would echo the entire d3 script in the HTML body. ","Let me provide some hints here. You need to have 3 files. The d3.php file contains a form as well as a select element (note that hard-coded supplier id values are not allowed in this assignment). When the user selects a supplier id on d3.php, the user will be directed to showProducts.php page, which will show a bar chart using D3 code (use the one that I tested in my demo please). The showProducts.php file will need a getData.php file to provide the needed data in the JSON format in order to generate the bar chart. Therefore, the selected supplier id should be first passed from d3.php to showProducts.php, which will pass it down to getData.php. ",in this question; are we supposed to add the D3 code in showProducts.php?,,,,,
"Let me provide some hints here. You need to have 3 files. The d3.php file contains a form as well as a select element (note that hard-coded supplier id values are not allowed in this assignment). When the user selects a supplier id on d3.php, the user will be directed to showProducts.php page, which will show a bar chart using D3 code (use the one that I tested in my demo please). The showProducts.php file will need a getData.php file to provide the needed data in the JSON format in order to generate the bar chart. Therefore, the selected supplier id should be first passed from d3.php to showProducts.php, which will pass it down to getData.php. ",in this question; are we supposed to add the D3 code in showProducts.php?,,,,,,
If anyone wants to debug their PHP you can copy and paste this logging function at the top and then debug by calling the function with whatever parameters you want to look at. Helps me out a good amount too,"Yes, for debugging Javascript/jQeury, keep your developer's console open and use console.log() to check event handlers and variable values. For debugging php, use echo to print out variable values on the web page. ","The console.log("""") function was very useful for debugging in this assignment. If you're having trouble, try putting a few of those within different functions and if statements to see what your code is actually doing. ",,,,,
"Yes, for debugging Javascript/jQeury, keep your developer's console open and use console.log() to check event handlers and variable values. For debugging php, use echo to print out variable values on the web page. ","The console.log("""") function was very useful for debugging in this assignment. If you're having trouble, try putting a few of those within different functions and if statements to see what your code is actually doing. ",,,,,,
"Make sure to have a space after ""echo"" and a semicolon at the end of the php line.",Thanks. That helped.,I was incorrect! This should work. By simply opening the document with,"As the getData page is separate from the other pages, what is the best way to filter the data by supplier in the getData.php page? I've attempted to add the ?id=""id"" element to the getData call, but that does not seem to correctly compile.",,,,
Thanks. That helped.,I was incorrect! This should work. By simply opening the document with,"As the getData page is separate from the other pages, what is the best way to filter the data by supplier in the getData.php page? I've attempted to add the ?id=""id"" element to the getData call, but that does not seem to correctly compile.",,,,,
I was incorrect! This should work. By simply opening the document with,"As the getData page is separate from the other pages, what is the best way to filter the data by supplier in the getData.php page? I've attempted to add the ?id=""id"" element to the getData call, but that does not seem to correctly compile.",,,,,,
Thanks Logan. I used the axis ticks with help from the website. ,Here is a website I found helpful about axis ticks.,"The ticks seem not to be hardcoded, but based on the maximum of the values input into the graph. However, in the demo, he explains how to edit the amount of ticks. So for example, if your maximum value is $3000, you could set the amount of ticks to 3 and get ticks of $1000, $2000, $3000. Hope this helps a bit.","Does anyone know how to format the axis labels? When I multiply the units in stock by unit prices for some of the products, I get a value that is greater than $1,000. However, my graph displays the y-axis as increments of 1k, 2k, 3k, etc.. I was wondering if anyone knew how to set the y-axis to show increments of $1,000, $2,000, etc..",,,,
Here is a website I found helpful about axis ticks.,"The ticks seem not to be hardcoded, but based on the maximum of the values input into the graph. However, in the demo, he explains how to edit the amount of ticks. So for example, if your maximum value is $3000, you could set the amount of ticks to 3 and get ticks of $1000, $2000, $3000. Hope this helps a bit.","Does anyone know how to format the axis labels? When I multiply the units in stock by unit prices for some of the products, I get a value that is greater than $1,000. However, my graph displays the y-axis as increments of 1k, 2k, 3k, etc.. I was wondering if anyone knew how to set the y-axis to show increments of $1,000, $2,000, etc..",,,,,
"The ticks seem not to be hardcoded, but based on the maximum of the values input into the graph. However, in the demo, he explains how to edit the amount of ticks. So for example, if your maximum value is $3000, you could set the amount of ticks to 3 and get ticks of $1000, $2000, $3000. Hope this helps a bit.","Does anyone know how to format the axis labels? When I multiply the units in stock by unit prices for some of the products, I get a value that is greater than $1,000. However, my graph displays the y-axis as increments of 1k, 2k, 3k, etc.. I was wondering if anyone knew how to set the y-axis to show increments of $1,000, $2,000, etc..",,,,,,
"https://developer.chrome.com/extensions/xhr
 (Links to an external site.)",Got the following error when trying to run Demos:,,,,,,
"Figured it out, all related to the config.php file",Anyone else get this error?,,,,,,
Nevermind! I did not give the privilege to the user,"I copied and pasted the config file and edited the username and password, I was not able to access to the database. Anyone know why?",,,,,,
"if you are using php code it should be supplierid="".$id;","Mine doesn't work if I have my sql statement with supplierid="".id; but if I hardcode to be a number it will work. I am assuming this means there is something wrong with the id variable, has anyone encountered problems with this or have ideas as to what I could try and fix? ",,,,,,
"It should redirect you to the ""showProducts.php"" dependant on which supplier ID you chose.",I assume you're supposed to be directed to showProducts.php and show the selected supplierID's product levels,"Is the page supposed to go anywhere after the submit button is clicked, or do we just leave that blank for now?",,,,,
I assume you're supposed to be directed to showProducts.php and show the selected supplierID's product levels,"Is the page supposed to go anywhere after the submit button is clicked, or do we just leave that blank for now?",,,,,,
"You have to use the CSS. I was getting the same issue, but I Did CSS and worked then! ","You have to use the CSS. I was getting the same issue, but I Did CSS and worked then! ",You might have to use CSS if you want to move the submit button. ,"When I created my submit button, it displays directly next to my drop-down list no matter what I do. I tried putting <br> in multiple places to move button down, but that doesn't work. Any ideas?",,,,
"You have to use the CSS. I was getting the same issue, but I Did CSS and worked then! ",You might have to use CSS if you want to move the submit button. ,"When I created my submit button, it displays directly next to my drop-down list no matter what I do. I tried putting <br> in multiple places to move button down, but that doesn't work. Any ideas?",,,,,
You might have to use CSS if you want to move the submit button. ,"When I created my submit button, it displays directly next to my drop-down list no matter what I do. I tried putting <br> in multiple places to move button down, but that doesn't work. Any ideas?",,,,,,
I didn't find any reason to.,Is there any reasons to use an HTML file as opposed to the PHP file for d3,,,,,,
Thanks for reminding me. I have changed the deadline for Exam 3.,"<br/>Professor, in an announcement on June 16th you said you were pushing back the due date on test 3 to the 28th. The due date for this exam is still today though 26th. I just want to make sure that the due date is infact the 28th.<br/>",,,,,,
That's correct.,"I am a little unsure as to what the CustomerLogin and EmployeeLogin tables are for. I assume that they are meant to track each time a customer or employee logs in with a timestamp, but I'd like to confirm this before I work on the code for those. ",,,,,,
Yes.,"Regarding the checksheet, if we have an external css sheet and we reference a style from that sheet inside one of the webpages, do we list CSS as one of the technologies used?",,,,,,
"For some reason, that worked. Thanks!","By using the ""#"" sign, you're calling on an ID, which is a unique property, so the only image that will be updated is the one where the ID=""Product"". If you're trying to change all widths of an Image, set the class property of all of the image tags the same (e.g. ""productpic"") then change the JQUERY code to $("".productpic"").width(300); and that should fix it.","<div>
<div><span>I'm trying to change the width of all images with the id ""product"". I've assigned the id to all of the images I want, but only one of the image's width changes. Here is the code I'm using.</span></div>
<div>
<span>$</span><span>(</span><span>""#product""</span><span>).</span><span>width</span><span>(</span><span>300</span><span>);</span>
</div>
</div>",,,,,
"By using the ""#"" sign, you're calling on an ID, which is a unique property, so the only image that will be updated is the one where the ID=""Product"". If you're trying to change all widths of an Image, set the class property of all of the image tags the same (e.g. ""productpic"") then change the JQUERY code to $("".productpic"").width(300); and that should fix it.","<div>
<div><span>I'm trying to change the width of all images with the id ""product"". I've assigned the id to all of the images I want, but only one of the image's width changes. Here is the code I'm using.</span></div>
<div>
<span>$</span><span>(</span><span>""#product""</span><span>).</span><span>width</span><span>(</span><span>300</span><span>);</span>
</div>
</div>",,,,,,
okay. thanks,"Aadarsh: Please check out the tutorial on how to upload image files in PHP: https://www.tutorialspoint.com/php/php_file_uploading.htm
 (Links to an external site.)",Each table is required to have at least 3 records. You can decide how many product records are needed in each category. ,What do you mean? Are you talking about the other question I asked about scaling the image?,Can I please get the info about uploading the image? how to handle this?,"is there a minimum for how many products we should enter for each grocery store category? By categories, I mean meats, fish, fruits, veggies, etc.",,
"Aadarsh: Please check out the tutorial on how to upload image files in PHP: https://www.tutorialspoint.com/php/php_file_uploading.htm
 (Links to an external site.)",Each table is required to have at least 3 records. You can decide how many product records are needed in each category. ,What do you mean? Are you talking about the other question I asked about scaling the image?,Can I please get the info about uploading the image? how to handle this?,"is there a minimum for how many products we should enter for each grocery store category? By categories, I mean meats, fish, fruits, veggies, etc.",,,
Each table is required to have at least 3 records. You can decide how many product records are needed in each category. ,What do you mean? Are you talking about the other question I asked about scaling the image?,Can I please get the info about uploading the image? how to handle this?,"is there a minimum for how many products we should enter for each grocery store category? By categories, I mean meats, fish, fruits, veggies, etc.",,,,
What do you mean? Are you talking about the other question I asked about scaling the image?,Can I please get the info about uploading the image? how to handle this?,"is there a minimum for how many products we should enter for each grocery store category? By categories, I mean meats, fish, fruits, veggies, etc.",,,,,
Can I please get the info about uploading the image? how to handle this?,"is there a minimum for how many products we should enter for each grocery store category? By categories, I mean meats, fish, fruits, veggies, etc.",,,,,,
"Is this what you are looking for: https://css-tricks.com/scale-svg/
 (Links to an external site.)
?","For D3.Js, does anyone know how to autoscale it with bootstrap? When creating an SVG item, you have to input the width and height, but those inputs are fixed. ",,,,,,
That's fine.,"<div class=""page"" title=""Page 2"">
<div class=""layoutArea"">
<div class=""column"">
<p><span>EmployeeLogin</span><span>(EMID, LoginTimeStamp)  - this is the structure of the  EmployeeLogin table. so I am saving EMPID &amp; TimeStamp when login, not e-mail.. but I am using e-mail &amp; password ( in employee table) for login. should this be fine?</span></p>
</div>
</div>
</div>",You should save the login email and login timestamp in the database as a new database record.,"For the customer and employee timestamp, should we display the timestamp when a customer/employee logs in? Or what should we do with it?",,,,
"<div class=""page"" title=""Page 2"">
<div class=""layoutArea"">
<div class=""column"">
<p><span>EmployeeLogin</span><span>(EMID, LoginTimeStamp)  - this is the structure of the  EmployeeLogin table. so I am saving EMPID &amp; TimeStamp when login, not e-mail.. but I am using e-mail &amp; password ( in employee table) for login. should this be fine?</span></p>
</div>
</div>
</div>",You should save the login email and login timestamp in the database as a new database record.,"For the customer and employee timestamp, should we display the timestamp when a customer/employee logs in? Or what should we do with it?",,,,,
You should save the login email and login timestamp in the database as a new database record.,"For the customer and employee timestamp, should we display the timestamp when a customer/employee logs in? Or what should we do with it?",,,,,,
"On the phpmyadmin page, make sure that your database is the current database. Go to the Export Tab, choose ""Quick - display only the minimal options"", and click ""Go"". ","How should we create the dump file for the database we implement when we submit our project? I exported mine and selected ""Custom - display all possible options."" Would this be sufficient? ",,,,,,
"You can put them all in one .zip file or upload three files: a .zip file, a checksheet, and a video file.","When submitting our final project, would you like us to submit the ZIP file, Checksheet, and video all in 1 single submission? Or is there another place you'd like us to submit these files (such as a different place to upload our video demonstrations)",,,,,,
"Host a zoom meeting and screenshare your computer. From there, if you click the 3 dots, you can allow for video recording.",What application are you using to record your zoom session?,This method works,I was also wondering about this.,What is the best way to create our project video? Would it be to create and record our own zoom session?,,,
What application are you using to record your zoom session?,This method works,I was also wondering about this.,What is the best way to create our project video? Would it be to create and record our own zoom session?,,,,
This method works,I was also wondering about this.,What is the best way to create our project video? Would it be to create and record our own zoom session?,,,,,
I was also wondering about this.,What is the best way to create our project video? Would it be to create and record our own zoom session?,,,,,,
"No, you have to use d3.js to generate a chart or graph.","Regarding the employee user module, for ""UC5: Visualize the number of products by category/inventory level"", should our visualization be displayed in a table?",,,,,,
Module 2 only for people with Last Names F-P.,"Just to be clear, are we to do only the module assigned to us by our last name? i.e Module 2 for people with Last Names F-P.  It seems like some are doing every module.",,,,,,
I agree that there are some missing homework files even after you unzip the downloaded folder.,When i said “nothing there” I was referring to how the d3.php has an action to showProducts.php  which is nonexistent ,"Not sure what you meant by ""nothing there"". If you extract the files out of the .zip files, you can see the code. For HW15_key, the file that contains the dropdown list is named HW7Q1.html. All these files must be placed in the root folder of your web server (e.g. www/ with Wamp). You will have to change the database user name and password in the config.php file to make them work.",i just wasnt able to learn d3 from the lecture so i thought the hw zip would help but there’s nothing there,Has anyone else had trouble accessing the Hw 15 and Hw 12 zip files. They don't seem to be working for me and might be missing some files.,,,
When i said “nothing there” I was referring to how the d3.php has an action to showProducts.php  which is nonexistent ,"Not sure what you meant by ""nothing there"". If you extract the files out of the .zip files, you can see the code. For HW15_key, the file that contains the dropdown list is named HW7Q1.html. All these files must be placed in the root folder of your web server (e.g. www/ with Wamp). You will have to change the database user name and password in the config.php file to make them work.",i just wasnt able to learn d3 from the lecture so i thought the hw zip would help but there’s nothing there,Has anyone else had trouble accessing the Hw 15 and Hw 12 zip files. They don't seem to be working for me and might be missing some files.,,,,
"Not sure what you meant by ""nothing there"". If you extract the files out of the .zip files, you can see the code. For HW15_key, the file that contains the dropdown list is named HW7Q1.html. All these files must be placed in the root folder of your web server (e.g. www/ with Wamp). You will have to change the database user name and password in the config.php file to make them work.",i just wasnt able to learn d3 from the lecture so i thought the hw zip would help but there’s nothing there,Has anyone else had trouble accessing the Hw 15 and Hw 12 zip files. They don't seem to be working for me and might be missing some files.,,,,,
i just wasnt able to learn d3 from the lecture so i thought the hw zip would help but there’s nothing there,Has anyone else had trouble accessing the Hw 15 and Hw 12 zip files. They don't seem to be working for me and might be missing some files.,,,,,,
"I found one by Thomas Haakon Townsend that works really well. It's just called HTML Preview, should be the first one that comes up if you type that into the extension search bar.",One thing that I am going to do is use Atom as the lectures so I can follow along. I have used Atom in the past and would like to use that. Is this a possibility or is VS code a requirement?,You can actually refresh the page and it will update with changes you have made after saving your HTML document instead of opening and closing the file.  I hit f5 while on the page to refresh instead of doing it through the browser.,"One thing to add is that in Visual Studio Code, if you right click on your html file in the explorer and then hit 'open with live server', it opens the html file in the browser and you can see the changes  as you edit your code in Visual Studio Code. ","Another thing you could do is to the location you've saved the HTML file and open the HTML file. It'll open in your browser and you can see what it would look like and whether the hyperlinks work, however you need to save your changes for them to show up and you will have to close it and reopen the file any time you make changes.",Great answer! Thanks Brock!,"VS Code doesn't have built-in support for HTML preview, so I tried the first extension: ""Preview"" by Haixin Chen and that one worked best for me. It didn't have as nice of a preview as the one in Professor Wang's video since it pops up in another tab of VS, but it did help. ","In the videos, the Professor uses Atom which allows him to preview his html code. We're using VS code, but is there a similar feature? I've looked at a few extensions and tried them, but they don't work. Is this something we could go over in class to help every code easier?"
One thing that I am going to do is use Atom as the lectures so I can follow along. I have used Atom in the past and would like to use that. Is this a possibility or is VS code a requirement?,You can actually refresh the page and it will update with changes you have made after saving your HTML document instead of opening and closing the file.  I hit f5 while on the page to refresh instead of doing it through the browser.,"One thing to add is that in Visual Studio Code, if you right click on your html file in the explorer and then hit 'open with live server', it opens the html file in the browser and you can see the changes  as you edit your code in Visual Studio Code. ","Another thing you could do is to the location you've saved the HTML file and open the HTML file. It'll open in your browser and you can see what it would look like and whether the hyperlinks work, however you need to save your changes for them to show up and you will have to close it and reopen the file any time you make changes.",Great answer! Thanks Brock!,"VS Code doesn't have built-in support for HTML preview, so I tried the first extension: ""Preview"" by Haixin Chen and that one worked best for me. It didn't have as nice of a preview as the one in Professor Wang's video since it pops up in another tab of VS, but it did help. ","In the videos, the Professor uses Atom which allows him to preview his html code. We're using VS code, but is there a similar feature? I've looked at a few extensions and tried them, but they don't work. Is this something we could go over in class to help every code easier?",
You can actually refresh the page and it will update with changes you have made after saving your HTML document instead of opening and closing the file.  I hit f5 while on the page to refresh instead of doing it through the browser.,"One thing to add is that in Visual Studio Code, if you right click on your html file in the explorer and then hit 'open with live server', it opens the html file in the browser and you can see the changes  as you edit your code in Visual Studio Code. ","Another thing you could do is to the location you've saved the HTML file and open the HTML file. It'll open in your browser and you can see what it would look like and whether the hyperlinks work, however you need to save your changes for them to show up and you will have to close it and reopen the file any time you make changes.",Great answer! Thanks Brock!,"VS Code doesn't have built-in support for HTML preview, so I tried the first extension: ""Preview"" by Haixin Chen and that one worked best for me. It didn't have as nice of a preview as the one in Professor Wang's video since it pops up in another tab of VS, but it did help. ","In the videos, the Professor uses Atom which allows him to preview his html code. We're using VS code, but is there a similar feature? I've looked at a few extensions and tried them, but they don't work. Is this something we could go over in class to help every code easier?",,
"One thing to add is that in Visual Studio Code, if you right click on your html file in the explorer and then hit 'open with live server', it opens the html file in the browser and you can see the changes  as you edit your code in Visual Studio Code. ","Another thing you could do is to the location you've saved the HTML file and open the HTML file. It'll open in your browser and you can see what it would look like and whether the hyperlinks work, however you need to save your changes for them to show up and you will have to close it and reopen the file any time you make changes.",Great answer! Thanks Brock!,"VS Code doesn't have built-in support for HTML preview, so I tried the first extension: ""Preview"" by Haixin Chen and that one worked best for me. It didn't have as nice of a preview as the one in Professor Wang's video since it pops up in another tab of VS, but it did help. ","In the videos, the Professor uses Atom which allows him to preview his html code. We're using VS code, but is there a similar feature? I've looked at a few extensions and tried them, but they don't work. Is this something we could go over in class to help every code easier?",,,
"Another thing you could do is to the location you've saved the HTML file and open the HTML file. It'll open in your browser and you can see what it would look like and whether the hyperlinks work, however you need to save your changes for them to show up and you will have to close it and reopen the file any time you make changes.",Great answer! Thanks Brock!,"VS Code doesn't have built-in support for HTML preview, so I tried the first extension: ""Preview"" by Haixin Chen and that one worked best for me. It didn't have as nice of a preview as the one in Professor Wang's video since it pops up in another tab of VS, but it did help. ","In the videos, the Professor uses Atom which allows him to preview his html code. We're using VS code, but is there a similar feature? I've looked at a few extensions and tried them, but they don't work. Is this something we could go over in class to help every code easier?",,,,
Great answer! Thanks Brock!,"VS Code doesn't have built-in support for HTML preview, so I tried the first extension: ""Preview"" by Haixin Chen and that one worked best for me. It didn't have as nice of a preview as the one in Professor Wang's video since it pops up in another tab of VS, but it did help. ","In the videos, the Professor uses Atom which allows him to preview his html code. We're using VS code, but is there a similar feature? I've looked at a few extensions and tried them, but they don't work. Is this something we could go over in class to help every code easier?",,,,,
"VS Code doesn't have built-in support for HTML preview, so I tried the first extension: ""Preview"" by Haixin Chen and that one worked best for me. It didn't have as nice of a preview as the one in Professor Wang's video since it pops up in another tab of VS, but it did help. ","In the videos, the Professor uses Atom which allows him to preview his html code. We're using VS code, but is there a similar feature? I've looked at a few extensions and tried them, but they don't work. Is this something we could go over in class to help every code easier?",,,,,,
